Voltage (V),Current (A)
40.2,-5.38496e-06
40.400000000000006,-5.3e-06
40.60000000000001,-5.21415e-06
40.80000000000001,-5.12726e-06
41.000000000000014,-5.04143e-06
41.20000000000002,-4.95647e-06
41.40000000000002,-4.87096e-06
41.60000000000002,-4.78472e-06
41.800000000000026,-4.70229e-06
42.00000000000003,-4.61777e-06
42.20000000000003,-4.531e-06
42.400000000000034,-4.44439e-06
42.60000000000004,-4.35834e-06
42.80000000000004,-4.27039e-06
43.00000000000004,-4.18259e-06
43.200000000000045,-4.09446e-06
43.40000000000005,-4.00772e-06
43.60000000000005,-3.91754e-06
43.800000000000054,-3.8305e-06
44.00000000000006,-3.74191e-06
44.20000000000006,-3.6541e-06
44.40000000000006,-3.56546e-06
44.600000000000065,-3.47621e-06
44.80000000000007,-3.38616e-06
45.00000000000007,-3.29589e-06
45.200000000000074,-3.2047e-06
45.40000000000008,-3.11451e-06
45.60000000000008,-3.01765e-06
45.80000000000008,-2.9282e-06
46.000000000000085,-2.83462e-06
46.20000000000009,-2.73926e-06
46.40000000000009,-2.64237e-06
46.600000000000094,-2.54507e-06
46.8000000000001,-2.44842e-06
47.0000000000001,-2.35033e-06
47.2000000000001,-2.24915e-06
47.400000000000105,-2.14978e-06
47.60000000000011,-2.04927e-06
47.80000000000011,-1.94157e-06
48.000000000000114,-1.83654e-06
48.20000000000012,-1.73606e-06
48.40000000000012,-1.62892e-06
48.60000000000012,-1.52145e-06
48.800000000000125,-1.41059e-06
49.00000000000013,-1.299e-06
49.20000000000013,-1.18536e-06
49.400000000000134,-1.06822e-06
49.600000000000136,-9.51533e-07
49.80000000000014,-8.33091e-07
50.00000000000014,-7.1039e-07
50.200000000000145,-5.86525e-07
50.40000000000015,-4.59944e-07
50.60000000000015,-3.30498e-07
50.80000000000015,-1.97824e-07
51.000000000000156,-6.17579e-08
51.20000000000016,7.81524e-08
51.40000000000016,2.20922e-07
51.600000000000165,3.67249e-07
51.80000000000017,5.18391e-07
52.00000000000017,6.72903e-07
52.20000000000017,8.32818e-07
52.400000000000176,9.98311e-07
52.60000000000018,1.16891e-06
52.80000000000018,1.34769e-06
53.000000000000185,1.53646e-06
53.20000000000019,1.72732e-06
53.40000000000019,1.92743e-06
53.60000000000019,2.13891e-06
53.800000000000196,2.35768e-06
54.0000000000002,2.58907e-06
54.2000000000002,2.8366e-06
54.400000000000205,3.09082e-06
54.60000000000021,3.35647e-06
54.80000000000021,3.6422e-06
55.00000000000021,3.94663e-06
55.200000000000216,4.27024e-06
55.40000000000022,4.6089e-06
55.60000000000022,4.98275e-06
55.800000000000225,5.38707e-06
56.00000000000023,5.82543e-06
56.20000000000023,6.30018e-06
56.40000000000023,6.81495e-06
56.600000000000236,7.37928e-06
56.80000000000024,7.99536e-06
57.00000000000024,8.68352e-06
57.200000000000244,9.43273e-06
57.40000000000025,1.02895e-05
57.60000000000025,1.12768e-05
57.80000000000025,1.24535e-05
58.000000000000256,1.38921e-05
58.20000000000026,1.57379e-05
58.40000000000026,1.81789e-05
58.600000000000264,2.15428e-05
58.80000000000027,2.62024e-05
59.00000000000027,3.28295e-05
59.20000000000027,4.22315e-05
59.400000000000276,5.54747e-05
59.60000000000028,7.36734e-05
59.80000000000028,9.41066e-05
60.000000000000284,0.000108635
60.20000000000029,0.000120317
60.40000000000029,0.000130884
60.60000000000029,0.000140526
60.800000000000296,0.000149751
61.0000000000003,0.000158533
61.2000000000003,0.000167114
61.400000000000304,0.000175414
61.60000000000031,0.00018351
61.80000000000031,0.000191595
62.00000000000031,0.000199432
62.200000000000315,0.000206785
62.40000000000032,0.000214201
62.60000000000032,0.00022166
62.800000000000324,0.000228757
63.00000000000033,0.000235728
63.20000000000033,0.000242643
63.40000000000033,0.00024948
63.600000000000335,0.000256091
63.80000000000034,0.000262558
64.00000000000034,0.000269065
64.20000000000034,0.000275192
64.40000000000035,0.000281828
64.60000000000035,0.000287749
64.80000000000035,0.000293833
65.00000000000036,0.000299872
65.20000000000036,0.000305939
65.40000000000036,0.000312152
65.60000000000036,0.000318338
65.80000000000037,0.000324508
66.00000000000037,0.000330825
66.20000000000037,0.000337117
66.40000000000038,0.000343697
66.60000000000038,0.00035027
66.80000000000038,0.00035689
67.00000000000038,0.00036367
67.20000000000039,0.000370438
67.40000000000039,0.000377498
67.60000000000039,0.000384608
67.8000000000004,0.000391793
68.0000000000004,0.000399006
68.2000000000004,0.000406258
68.4000000000004,0.000413858
68.6000000000004,0.000421351
68.80000000000041,0.000428816
69.00000000000041,0.000435548
69.20000000000041,0.000442721
69.40000000000042,0.000450092
69.60000000000042,0.000457544
69.80000000000042,0.000464948
70.00000000000043,0.000472338
70.20000000000043,0.000479732
70.40000000000043,0.000487137
70.60000000000043,0.00049457
70.80000000000044,0.000501863
71.00000000000044,0.000509132
71.20000000000044,0.000516242
71.40000000000045,0.000523555
71.60000000000045,0.00053082
71.80000000000045,0.000537914
72.00000000000045,0.000544993
72.20000000000046,0.000552322
72.40000000000046,0.000559221
72.60000000000046,0.000566208
72.80000000000047,0.000573285
73.00000000000047,0.000580441
73.20000000000047,0.000587243
73.40000000000047,0.000594654
73.60000000000048,0.000601199
73.80000000000048,0.000608121
74.00000000000048,0.000615295
74.20000000000049,0.000622398
74.40000000000049,0.000629458
74.60000000000049,0.000636802
74.8000000000005,0.000643981
75.0000000000005,0.000651111
