Voltage (V),Current (A)
60.0,-1.30858e-05
60.2,-1.28215e-05
60.400000000000006,-1.26854e-05
60.60000000000001,-1.25996e-05
60.80000000000001,-1.25114e-05
61.000000000000014,-1.24061e-05
61.20000000000002,-1.23016e-05
61.40000000000002,-1.22082e-05
61.60000000000002,-1.20923e-05
61.800000000000026,-1.20055e-05
62.00000000000003,-1.19096e-05
62.20000000000003,-1.17913e-05
62.400000000000034,-1.16714e-05
62.60000000000004,-1.15615e-05
62.80000000000004,-1.15072e-05
63.00000000000004,-1.13551e-05
63.200000000000045,-1.1267e-05
63.40000000000005,-1.11655e-05
63.60000000000005,-1.10245e-05
63.800000000000054,-1.09238e-05
64.00000000000006,-1.0823e-05
64.20000000000006,-1.07012e-05
64.40000000000006,-1.05901e-05
64.60000000000007,-1.05157e-05
64.80000000000007,-1.03622e-05
65.00000000000007,-1.02519e-05
65.20000000000007,-1.01468e-05
65.40000000000008,-1.00205e-05
65.60000000000008,-9.99128e-06
65.80000000000008,-9.8236e-06
66.00000000000009,-9.74222e-06
66.20000000000009,-9.60689e-06
66.40000000000009,-9.49459e-06
66.6000000000001,-9.43485e-06
66.8000000000001,-9.34012e-06
67.0000000000001,-9.17253e-06
67.2000000000001,-9.0635e-06
67.4000000000001,-8.96096e-06
67.60000000000011,-8.87625e-06
67.80000000000011,-8.74733e-06
68.00000000000011,-8.65142e-06
68.20000000000012,-8.54735e-06
68.40000000000012,-8.52493e-06
68.60000000000012,-8.38612e-06
68.80000000000013,-8.28032e-06
69.00000000000013,-8.14923e-06
69.20000000000013,-8.05002e-06
69.40000000000013,-7.91631e-06
69.60000000000014,-7.81897e-06
69.80000000000014,-7.74103e-06
70.00000000000014,-7.62741e-06
70.20000000000014,-7.55622e-06
70.40000000000015,-7.46627e-06
70.60000000000015,-7.34633e-06
70.80000000000015,-7.2469e-06
71.00000000000016,-7.1334e-06
71.20000000000016,-6.989e-06
71.40000000000016,-6.90146e-06
71.60000000000016,-6.80212e-06
71.80000000000017,-6.69639e-06
72.00000000000017,-6.5734e-06
72.20000000000017,-6.50866e-06
72.40000000000018,-6.36255e-06
72.60000000000018,-6.27475e-06
72.80000000000018,-6.20194e-06
73.00000000000018,-6.05697e-06
73.20000000000019,-5.98865e-06
73.40000000000019,-5.88805e-06
73.6000000000002,-5.7609e-06
73.8000000000002,-5.6581e-06
74.0000000000002,-5.52992e-06
74.2000000000002,-5.44345e-06
74.4000000000002,-5.31988e-06
74.60000000000021,-5.24339e-06
74.80000000000021,-5.11451e-06
75.00000000000021,-5.01301e-06
75.20000000000022,-4.93736e-06
75.40000000000022,-4.82523e-06
75.60000000000022,-4.70444e-06
75.80000000000022,-4.5793e-06
76.00000000000023,-4.47371e-06
76.20000000000023,-4.34288e-06
76.40000000000023,-4.22701e-06
76.60000000000024,-4.10709e-06
76.80000000000024,-4.00241e-06
77.00000000000024,-3.89243e-06
77.20000000000024,-3.76355e-06
77.40000000000025,-3.64147e-06
77.60000000000025,-3.54212e-06
77.80000000000025,-3.42635e-06
78.00000000000026,-3.29273e-06
78.20000000000026,-3.14718e-06
78.40000000000026,-3.03605e-06
78.60000000000026,-2.89278e-06
